@relation training_tutorial1-weka.filters.unsupervised.attribute.Remove-R24

@attribute pmPositionX numeric
@attribute pmPositionY numeric
@attribute legalNorth {True,False}
@attribute legalSouth {True,False}
@attribute legalWest {True,False}
@attribute legalEast {True,False}
@attribute g0PositionX numeric
@attribute g0PositionY numeric
@attribute g0Distance numeric
@attribute g0Direction {Stop,North,South,West,East}
@attribute g1PositionX numeric
@attribute g1PositionY numeric
@attribute g1Distance numeric
@attribute g1Direction {Stop,North,South,West,East}
@attribute g2PositionX numeric
@attribute g2PositionY numeric
@attribute g2Distance numeric
@attribute g2Direction {Stop,North,South,West,East}
@attribute g3PositionX numeric
@attribute g3PositionY numeric
@attribute g3Distance numeric
@attribute g3Direction {Stop,North,South,West,East}
@attribute scoreCurrent numeric
@attribute pmDirection {North,South,West,East}

@data
2,3,True,False,True,True,1000000,1000000,1000000,?,1000000,1000000,1000000,?,5,9,9,Stop,6,6,7,Stop,384,East
2,4,True,True,True,True,1000000,1000000,1000000,?,1000000,1000000,1000000,?,5,9,8,Stop,6,6,6,Stop,383,North
2,5,True,True,True,True,1000000,1000000,1000000,?,1000000,1000000,1000000,?,5,9,7,Stop,6,6,5,Stop,382,North
2,6,False,True,True,True,1000000,1000000,1000000,?,1000000,1000000,1000000,?,5,9,6,Stop,6,6,4,Stop,381,North
3,6,True,True,True,True,1000000,1000000,1000000,?,1000000,1000000,1000000,?,5,9,5,Stop,6,6,3,Stop,380,East
4,6,True,True,True,True,1000000,1000000,1000000,?,1000000,1000000,1000000,?,5,9,4,Stop,6,6,2,Stop,379,East
5,6,True,True,True,True,1000000,1000000,1000000,?,1000000,1000000,1000000,?,5,9,3,Stop,6,6,1,Stop,378,East
6,6,True,False,True,True,1000000,1000000,1000000,?,1000000,1000000,1000000,?,5,9,4,Stop,1000000,1000000,1000000,?,577,East
6,7,True,True,True,False,1000000,1000000,1000000,?,1000000,1000000,1000000,?,5,9,3,Stop,1000000,1000000,1000000,?,576,North
6,8,True,True,True,False,1000000,1000000,1000000,?,1000000,1000000,1000000,?,5,9,2,Stop,1000000,1000000,1000000,?,575,North
6,9,True,True,True,False,1000000,1000000,1000000,?,1000000,1000000,1000000,?,5,9,1,Stop,1000000,1000000,1000000,?,574,North
1,17,True,True,False,False,1,3,14,Stop,2,3,15,Stop,5,9,18,Stop,6,6,16,Stop,-1,South
1,16,True,True,False,True,1,3,13,Stop,2,3,14,Stop,5,9,17,Stop,6,6,15,Stop,-2,South
1,15,True,True,False,True,1,3,12,Stop,2,3,13,Stop,5,9,16,Stop,6,6,14,Stop,-3,South
1,14,True,True,False,True,1,3,11,Stop,2,3,12,Stop,5,9,15,Stop,6,6,13,Stop,-4,South
1,13,True,True,False,False,1,3,10,Stop,2,3,11,Stop,5,9,14,Stop,6,6,12,Stop,-5,South
1,12,True,True,False,True,1,3,9,Stop,2,3,10,Stop,5,9,13,Stop,6,6,11,Stop,-6,South
1,11,True,True,False,False,1,3,8,Stop,2,3,9,Stop,5,9,12,Stop,6,6,10,Stop,-7,South
1,10,True,True,False,False,1,3,7,Stop,2,3,8,Stop,5,9,11,Stop,6,6,9,Stop,-8,South
1,9,True,True,False,False,1,3,6,Stop,2,3,7,Stop,5,9,10,Stop,6,6,8,Stop,-9,South
1,8,True,True,False,False,1,3,5,Stop,2,3,6,Stop,5,9,9,Stop,6,6,7,Stop,-10,South
1,7,True,True,False,False,1,3,4,Stop,2,3,5,Stop,5,9,8,Stop,6,6,6,Stop,-11,South
1,6,True,True,False,True,1,3,3,Stop,2,3,4,Stop,5,9,7,Stop,6,6,5,Stop,-12,South
1,5,True,True,False,True,1,3,2,Stop,2,3,3,Stop,5,9,8,Stop,6,6,6,Stop,-13,South
